Address,Market,Tag,City,Zip,List price,Last known sold price,ARV,Gross %,Cap rate,CoC %,UL IRR,IRR,Rent est,Cash flow /mo,Costs /mo,County,Bds,Ba,Gar,Sqft,Lot size,Yr built,Type,List date,DOM,MLS status,School,Pop growth,Income growth,Safety,Walk,Income,Pop density,Flood
"138 Creek View Dr, Toccoa, GA 30577","Atlanta","AC analyzed (see notes)","Toccoa","30577","254990","","244605","0.117","0.082","0.082","0.119","0.119","2400","1680.05","719.95","STEPHENS","4","3","2","1774","8712","2025","House","03/28/2025","64","Pending","69","0.004","0.03","43","43","52745","63","Moderate - low risk"
"2347 Hackamore, Atlanta, GA 30349","Atlanta","","Atlanta","30349","","","297688","0.11","0.068","0.068","0.104","0.104","2200","1350.13","849.87","FULTON","3","2.5","","2120","3179.88","2019","House","","","","36","0.026","0.03","30","62","69098","77","Moderate - low risk"
"111 Melanee Ln, Oxford, OH 45056","Cincinnati","mochi","Oxford","45056","274900","185800","292022","0.107","0.067","0.07","0.104","0.175","2400","730.73","899.08","BUTLER","4","3","2","2184","9487","1993","House","05/03/2025","38","Active","55","0.021","0.07","51","18","63173","65","Moderate - low risk"
"1507 Rumstone Ln, Charlotte, NC 28262","Charlotte","Bee","Charlotte","28262","239900","117500","246705","0.1","0.067","0.067","0.103","0.103","1950","1297.78","652.22","MECKLENBURG","3","2","1","1390","5749.92","1997","House","04/29/2025","42","Active","25","-0.007","0.02","21","54","77910","76","Moderate - low risk"
"8009 SE 5th St, Blue Springs, MO 64014","Kansas City","Mochi","Blue Springs","64014","299990","","286990","0.101","0.065","0.065","0.102","0.102","2400","1556.02","843.98","JACKSON","3","2","2","1425","8500","2025","House","04/30/2025","37","Pending","93","0.053","0.02","65","26","86180","82","Moderate - low risk"
"906 Highland Dr, Hinesville, GA 31313","Savannah","Bee","Hinesville","31313","225000","117000","235487","0.107","0.064","0.027","0.101","0.204","1950","136.45","785.44","LIBERTY","4","2","1","1538","7841","1993","House","04/12/2025","59","Active","40","0.055","0.08","38","18","58026","76","High risk"
"4452 Belcamp Rd, Fairburn, GA 30213","Atlanta","AC analyzed (see notes)","Fairburn","30213","305000","155625","299211","0.092","0.064","0.064","0.1","0.1","2250","1556.7","693.3","FULTON","3","3.5","2","1774","6969.6","2015","House","04/24/2025","47","Active","38","0.099","0.07","27","32","88244","73","Moderate - low risk"
"3985 Village Blvd NW, Conover, NC 28613","Charlotte","AC analyzed (see notes)","Conover","28613","309900","366490","301777","0.094","0.063","0.063","0.1","0.1","2450","1653.8","796.2","CATAWBA","4","3.5","2","2565","6534","2023","House","05/15/2025","26","Active","54","0.009","0","79","36","42954","59","Moderate - low risk"
"5987 Westchase St, Atlanta, GA 30336","Atlanta","AC analyzed (see notes)","Atlanta","30336","270000","312000","264533","0.109","0.062","0.059","0.099","0.178","2400","545.55","1021.83","FULTON","3","2.5","1","1772","5026.82","2017","House","03/02/2025","100","Active","50","0.021","-0.08","9","42","24090","51","Moderate - low risk"
"521 N Swain St, Ingalls, IN 46048","Indianapolis","Mochi","Ingalls","46048","272500","","263342","0.103","0.062","0.057","0.098","0.18","2200","492.09","886.36","MADISON","3","2","2","1640","10400","2025","House","01/14/2025","147","Active","65","0.003","0.02","74","26","57130","65","Moderate - low risk"
